Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Antlr 3.4.1.9004,,,,,"Antlr, 3.4.1.9004  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,EntityFramework 6.1.3,,,,,"EntityFramework, 6.1.3  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.ApplicationInsights.Agent.Intercept 2.0.6,,,,,"Microsoft.ApplicationInsights.Agent.Intercept, 2.0.6  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.ApplicationInsights.DependencyCollector 2.2.0,,,,,"Microsoft.ApplicationInsights.DependencyCollector, 2.2.0  Recommendation:  Microsoft.ApplicationInsights.DependencyCollector, 2.23.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.ApplicationInsights.PerfCounterCollector 2.2.0,,,,,"Microsoft.ApplicationInsights.PerfCounterCollector, 2.2.0  Recommendation:  Microsoft.ApplicationInsights.PerfCounterCollector, 2.23.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.AspNet.Identity.Core 2.2.4,,,,,"Microsoft.AspNet.Identity.Core, 2.2.4  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.AspNet.Identity.EntityFramework 2.2.1,,,,,"Microsoft.AspNet.Identity.EntityFramework, 2.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.AspNet.Identity.Owin 2.2.4,,,,,"Microsoft.AspNet.Identity.Owin, 2.2.4  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  Package functionality included with new framework reference"
